Crop_Name,Category,Avg_Harvest_Days,Market_Demand,Home_Growable,Health_Benefit,Intercropping_Possibility
Tomato,Vegetable,63,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Thyme,Herb/Medicinal,147,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Coriander,Herb/Medicinal,98,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Fenugreek,Vegetable,117,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Mint,Herb/Medicinal,100,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Mulberry,Fruit,274,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Heat-Tolerant Ridge Gourd,Vegetable,73,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Garlic,Spice,272,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Cabbage,Vegetable,114,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Capsicum,Vegetable,50,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cocoa,Cash/Plantation,390,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Heat-Tolerant Lime,Fruit,120,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Mulberry,Fruit,182,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Pineapple,Fruit,314,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Papaya,Fruit,192,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Rubber,Cash/Plantation,396,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Lettuce,Vegetable,89,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Blueberry,Fruit,361,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Mulberry,Fruit,136,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Dwarf Garlic,Spice,200,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
High-Yield Coconut,Fruit,157,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Early-Maturing Maize,Grain,124,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Hybrid French Bean,Vegetable,46,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Capsicum,Vegetable,111,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Bay Leaf,Vegetable,55,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Carrot,Vegetable,78,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Wheat,Grain,120,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Parsley,Herb/Medicinal,62,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Rosemary,Herb/Medicinal,141,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Cocoa,Cash/Plantation,445,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Pineapple,Fruit,129,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
High-Yield Pear,Fruit,288,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cold-Tolerant Tulsi,Herb/Medicinal,139,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Mustard,Oilseed,120,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Coconut,Fruit,306,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Early-Maturing Cowpea,Pulse,160,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Organic Coriander Seed,Vegetable,75,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Black Gram,Vegetable,67,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Sugarcane,Cash/Plantation,395,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Tomato,Vegetable,89,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Wheat,Grain,154,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Black Pepper,Vegetable,99,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Rubber,Cash/Plantation,478,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Cold-Tolerant Lime,Fruit,217,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Linseed,Oilseed,135,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Pomegranate,Fruit,292,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Black Gram,Vegetable,107,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Radish,Vegetable,117,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Rice,Grain,100,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
High-Yield Bitter Gourd,Vegetable,82,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Linseed,Oilseed,140,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Cold-Tolerant Fenugreek,Vegetable,108,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Okra,Vegetable,116,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Mustard Seed,Vegetable,72,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Coriander Seed,Vegetable,46,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Cinnamon,Spice,267,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Sapota,Fruit,293,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Sugarcane,Cash/Plantation,417,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
High-Yield Aloe Vera,Vegetable,98,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Ginger,Spice,300,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Tobacco,Cash/Plantation,325,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Banana,Fruit,228,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Dwarf Lemongrass,Herb/Medicinal,121,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Turmeric,Spice,280,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Thyme,Herb/Medicinal,101,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Ridge Gourd,Vegetable,68,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Lemon,Fruit,259,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Papaya,Fruit,363,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Basil,Herb/Medicinal,157,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Clove,Spice,260,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Organic Thyme,Herb/Medicinal,33,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Oats,Grain,135,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Late-Maturing Carrot,Vegetable,51,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Aloe Vera,Vegetable,107,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Mulberry,Fruit,129,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cumin,Spice,245,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Lettuce,Vegetable,114,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Black Pepper,Vegetable,68,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cardamom,Spice,261,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Local Chickpea,Pulse,138,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Cowpea,Pulse,125,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Organic Guava,Fruit,179,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cotton,Cash/Plantation,476,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Local Spinach,Vegetable,101,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Barley,Grain,121,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Guava,Fruit,127,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Green Gram,Vegetable,120,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Clove,Spice,299,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Late-Maturing Fenugreek Seed,Vegetable,59,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Rosemary,Herb/Medicinal,121,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Lime,Fruit,201,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Kidney Bean,Vegetable,88,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Jackfruit,Fruit,312,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Black Gram,Vegetable,117,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Mint,Herb/Medicinal,153,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Mustard Seed,Vegetable,84,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Green Gram,Vegetable,45,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Tea,Cash/Plantation,303,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
High-Yield Black Pepper,Vegetable,93,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Pineapple,Fruit,247,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
High-Yield Grapes,Fruit,286,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Lemongrass,Herb/Medicinal,37,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Mustard Seed,Vegetable,57,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Garlic,Spice,259,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Guava,Fruit,164,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Apple,Fruit,142,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cold-Tolerant Jute,Cash/Plantation,535,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Local Bay Leaf,Vegetable,83,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Fenugreek Seed,Vegetable,89,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Basil,Herb/Medicinal,64,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Mustard,Oilseed,101,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Late-Maturing Basil,Herb/Medicinal,124,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Sapota,Fruit,224,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Late-Maturing Apple,Fruit,282,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Okra,Vegetable,52,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Grapes,Fruit,286,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Local Pear,Fruit,322,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
High-Yield Black Gram,Vegetable,50,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Clove,Spice,259,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Chilli,Vegetable,86,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local French Bean,Vegetable,46,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Lemongrass,Herb/Medicinal,114,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Black Pepper,Vegetable,94,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Rice,Grain,140,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Late-Maturing Turmeric,Spice,173,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Local Turmeric,Spice,256,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Cumin,Spice,292,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Heat-Tolerant Sorghum,Grain,155,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Hybrid Black Pepper,Vegetable,78,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Tobacco,Cash/Plantation,329,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Coriander,Herb/Medicinal,64,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Strawberry,Fruit,186,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Coriander,Herb/Medicinal,64,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Chickpea,Pulse,159,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
High-Yield Maize,Grain,104,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Guava,Fruit,193,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Grapes,Fruit,121,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Rubber,Cash/Plantation,349,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Dwarf Lettuce,Vegetable,99,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Black Gram,Vegetable,88,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Green Gram,Vegetable,101,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Dill,Herb/Medicinal,132,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Wheat,Grain,115,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Parsley,Herb/Medicinal,81,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Strawberry,Fruit,178,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Linseed,Oilseed,105,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Parsley,Herb/Medicinal,60,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Banana,Fruit,282,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Thyme,Herb/Medicinal,69,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Banana,Fruit,355,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Heat-Tolerant Barley,Grain,147,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Turmeric,Spice,213,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Oats,Grain,127,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Rice,Grain,127,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Banana,Fruit,118,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Jackfruit,Fruit,99,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Carrot,Vegetable,90,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Barley,Grain,152,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Mulberry,Fruit,147,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cocoa,Cash/Plantation,338,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Dwarf Basil,Herb/Medicinal,99,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Tea,Cash/Plantation,491,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Early-Maturing Grapes,Fruit,232,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Late-Maturing Tobacco,Cash/Plantation,480,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Jackfruit,Fruit,280,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cold-Tolerant Custard Apple,Fruit,339,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Dwarf Garlic,Spice,270,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Early-Maturing Brinjal,Vegetable,49,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cocoa,Cash/Plantation,472,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
High-Yield Garlic,Spice,244,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Tea,Cash/Plantation,427,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Carrot,Vegetable,79,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Lettuce,Vegetable,99,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Mint,Herb/Medicinal,51,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Maize,Grain,138,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Mint,Herb/Medicinal,76,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Maize,Grain,125,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Organic Cinnamon,Spice,187,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Late-Maturing Beetroot,Vegetable,60,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Pigeon Pea,Vegetable,71,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Parsley,Herb/Medicinal,153,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Apple,Fruit,214,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Beetroot,Vegetable,51,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Soybean,Oilseed,131,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Late-Maturing Soybean,Oilseed,136,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Rubber,Cash/Plantation,302,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Jute,Cash/Plantation,371,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Lemon,Fruit,342,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Local Custard Apple,Fruit,223,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Organic Mustard,Oilseed,120,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Early-Maturing Grapes,Fruit,137,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
French Bean,Vegetable,76,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Bay Leaf,Vegetable,113,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Rosemary,Herb/Medicinal,172,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Chilli,Vegetable,102,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Lime,Fruit,364,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Sapota,Fruit,222,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
High-Yield French Bean,Vegetable,57,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Sugarcane,Cash/Plantation,474,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Hybrid Green Gram,Vegetable,60,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Onion,Vegetable,58,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Tea,Cash/Plantation,326,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Dwarf Thyme,Herb/Medicinal,39,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Pomegranate,Fruit,251,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Brinjal,Vegetable,82,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Lettuce,Vegetable,102,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Sugarcane,Cash/Plantation,318,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Heat-Tolerant Maize,Grain,107,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Dwarf Radish,Vegetable,76,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Wheat,Grain,103,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Late-Maturing Oats,Grain,132,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Black Pepper,Vegetable,93,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Garlic,Spice,191,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Late-Maturing Horse Gram,Vegetable,60,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Castor,Oilseed,139,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Finger Millet,Vegetable,71,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Rubber,Cash/Plantation,504,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Pearl Millet,Vegetable,91,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Rubber,Cash/Plantation,311,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Strawberry,Fruit,187,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Heat-Tolerant Sapota,Fruit,255,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Grapes,Fruit,205,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Beetroot,Vegetable,97,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Soybean,Oilseed,115,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Cold-Tolerant Soybean,Oilseed,151,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Bottle Gourd,Vegetable,71,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Apple,Fruit,297,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Carrot,Vegetable,55,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Carrot,Vegetable,86,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Fenugreek,Vegetable,54,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Cowpea,Pulse,122,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Heat-Tolerant Cabbage,Vegetable,115,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Ginger,Spice,265,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Early-Maturing Coffee,Cash/Plantation,430,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
High-Yield Mulberry,Fruit,217,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Papaya,Fruit,94,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Finger Millet,Vegetable,66,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Mint,Herb/Medicinal,108,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Basil,Herb/Medicinal,167,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
